Gene1	Gene2	Correlation	source
AT2G22300	AT1G71410	0.619244739228642	GENIE&WGCNA
AT5G45260	AT5G23575	0.619213859060099	GENIE&WGCNA
AT5G05410	AT1G56440	0.619188694494966	GENIE&WGCNA
AT4G01280	AT5G64570	0.619141940331081	GENIE&WGCNA
AT1G33240	AT1G80650	0.619133007835075	GENIE&WGCNA
AT1G19700	AT3G26200	0.619118194738585	GENIE&WGCNA
AT1G26260	AT2G26080	0.61911430112357	GENIE&WGCNA
AT5G52660	AT3G54390	0.619071119477476	GENIE&WGCNA
AT1G70000	AT5G38510	0.619053463030297	GENIE&WGCNA
AT3G57800	AT5G14120	0.61886497963979	GENIE&WGCNA
AT2G22300	AT4G37210	0.618417563053941	GENIE&WGCNA
AT3G46640	AT2G37050	0.618388820201808	GENIE&WGCNA
AT2G47890	AT5G60800	0.618383950765774	GENIE&WGCNA
AT1G26260	AT2G37090	0.618186851241768	GENIE&WGCNA
AT4G36900	AT4G31870	0.618145160779761	GENIE&WGCNA
AT4G00180	AT4G10430	0.618128115022708	GENIE&WGCNA
AT5G04410	AT3G23990	0.618068026091127	GENIE&WGCNA
AT1G70000	AT1G10760	0.618052020999764	GENIE&WGCNA
AT1G58100	AT1G25560	0.617961697671017	GENIE&WGCNA
AT5G05410	AT1G71000	0.617897346210867	GENIE&WGCNA
AT1G25560	AT3G19190	0.6178391251852	GENIE&WGCNA
AT1G30500	AT3G10410	0.617816411976752	GENIE&WGCNA
AT1G58110	AT4G01395	0.617802634256374	GENIE&WGCNA
AT5G52660	AT5G46790	0.617754691211239	GENIE&WGCNA
AT1G12860	AT5G07840	0.617655975308178	GENIE&WGCNA
AT5G11260	AT1G75580	0.617526644317399	GENIE&WGCNA
AT5G45260	AT4G34390	0.617506005556462	GENIE&WGCNA
AT4G13640	AT1G10200	0.617485936843155	GENIE&WGCNA
AT2G46270	AT5G17000	0.617470135859959	GENIE&WGCNA
AT1G70000	AT1G64680	0.617417612010682	GENIE&WGCNA
AT3G57980	AT2G36630	0.617241037179005	GENIE&WGCNA
AT1G45249	AT5G46790	0.617214048469361	GENIE&WGCNA
AT1G14920	AT5G01630	0.617191152188248	GENIE&WGCNA
AT2G37060	AT2G45740	0.617107335524382	GENIE&WGCNA
AT1G33060	AT3G49570	0.617087253872302	GENIE&WGCNA
AT5G41920	AT5G13200	0.616965740956027	GENIE&WGCNA
AT1G79700	AT2G17880	0.616832238285352	GENIE&WGCNA
AT1G14920	AT3G53830	0.616824571638284	GENIE&WGCNA
AT4G36900	AT3G07700	0.616751360503022	GENIE&WGCNA
AT5G45260	AT1G68470	0.616740196338464	GENIE&WGCNA
AT1G58110	AT5G48520	0.616691185972448	GENIE&WGCNA
AT3G17609	AT2G03050	0.616588561057243	GENIE&WGCNA
AT2G42300	AT1G70630	0.61654831951069	GENIE&WGCNA
AT5G52660	AT1G07180	0.616492661603032	GENIE&WGCNA
AT2G35940	AT2G37180	0.616486042569003	GENIE&WGCNA
