Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family
AT4G01120	AT5G05790	0.47527843821291416	Short Up–Long Down	Short Down	Up	Down	4	4	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TF-TF	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Long Down	TF, Short Down	bZIP	MYB
AT1G69780	AT3G51895	0.4751623354541122	Short–Long Down	Short Down	Down	Down	7	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	HD-ZIP	NA
AT5G60690	AT1G07090	0.4748696468245863	Short Down	Short Down	Down	Down	3	8	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	HD-ZIP	NA
AT2G02820	AT3G45850	0.47438610358200134	Short Down	Short Down	Down	Down	5	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	MYB	NA
AT5G43270	AT3G61750	0.4737349535434523	Short Down	Short–Long Down	Down	Down	9	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	SBP	NA
AT1G30330	AT2G36200	0.47339998499475505	Short Down	Short Down	Down	Down	3	5	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT4G36990	AT5G37670	0.4731350801423147	Short Up–Down	Short Up	Mixed	Up	15	11	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	HSF	NA
AT4G34590	AT1G04680	0.4721185197505951	Short–Long Up	Short Down	Up	Down	8	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Up	Short Down	bZIP	NA
AT4G38620	AT2G17710	0.47174944681358727	Short Down–Long Up	Frequent	Down	Down	7	7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Frequent	MYB	NA
AT2G26150	AT3G08970	0.47096332562551774	Short Up–Down	Short Up–Down	Mixed	Mixed	15	15	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Down	HSF	NA
